source,target,source_group,target_group,source_region,target_region,distance,delay_ms,weight,edge_type
0,5,H,H,hypostome,hypostome,7.556959545798512,2,0.92,intra
1,2,H,H,hypostome,hypostome,0.3290102204939245,1,0.92,intra
1,15,H,H,hypostome,hypostome,4.725640434028521,2,0.92,intra
2,15,H,H,hypostome,hypostome,4.430361876603444,2,0.92,intra
3,12,H,H,hypostome,hypostome,5.2908455856936,2,0.92,intra
3,14,H,H,hypostome,hypostome,5.32207810192501,2,0.92,intra
4,3,H,H,hypostome,hypostome,1.2349901639739946,1,0.92,intra
4,8,H,H,hypostome,hypostome,1.887707161082476,1,0.92,intra
7,0,H,H,hypostome,hypostome,3.4910978180974825,1,0.92,intra
7,18,H,H,hypostome,hypostome,6.969908280977654,2,0.92,intra
8,0,H,H,hypostome,hypostome,4.01545135032317,2,0.92,intra
9,13,H,H,hypostome,hypostome,1.7766823669084506,1,0.92,intra
10,3,H,H,hypostome,hypostome,12.327908262056384,3,0.92,intra
10,18,H,H,hypostome,hypostome,6.835018808348947,2,0.92,intra
11,18,H,H,hypostome,hypostome,3.2260074045939544,1,0.92,intra
12,3,H,H,hypostome,hypostome,5.2908455856936,2,0.92,intra
12,15,H,H,hypostome,hypostome,16.566518395932807,3,0.92,intra
13,8,H,H,hypostome,hypostome,7.265189087358216,2,0.92,intra
13,11,H,H,hypostome,hypostome,0.8354308488996868,1,0.92,intra
14,6,H,H,hypostome,hypostome,6.974561447218624,2,0.92,intra
14,18,H,H,hypostome,hypostome,2.8556079424334775,1,0.92,intra
15,13,H,H,hypostome,hypostome,4.787452322922045,2,0.92,intra
15,18,H,H,hypostome,hypostome,6.4260412548428,2,0.92,intra
16,7,H,H,hypostome,hypostome,8.2497126284019,2,0.92,intra
17,15,H,H,hypostome,hypostome,3.7188805817492416,1,0.92,intra
18,2,H,H,hypostome,hypostome,7.793074726895433,2,0.92,intra
18,17,H,H,hypostome,hypostome,2.724896452663501,1,0.92,intra
19,0,H,H,hypostome,hypostome,9.399941033293791,2,0.92,intra
19,16,H,H,hypostome,hypostome,1.5919964857424171,1,0.92,intra
21,5,H,H,hypostome,hypostome,5.334171515296679,2,0.92,intra
23,39,B1,B1,column,column,17.681201571700253,3,0.94,intra
24,23,B1,B1,column,column,1.8149244084696297,1,0.94,intra
25,31,B1,B1,column,column,7.719198403306336,2,0.94,intra
27,30,B1,B1,column,column,6.084511721056389,2,0.94,intra
29,36,B1,B1,column,column,21.853973154123256,4,0.94,intra
30,27,B1,B1,column,column,6.084511721056389,2,0.94,intra
30,36,B1,B1,column,column,12.862837399651522,3,0.94,intra
32,29,B1,B1,column,column,13.653821343407483,3,0.94,intra
33,31,B1,B1,column,column,5.289865478600953,2,0.94,intra
35,32,B1,B1,column,column,3.5851340694339986,1,0.94,intra
40,30,B1,B1,column,column,11.659633473460046,3,0.94,intra
40,35,B1,B1,column,column,5.954617787636875,2,0.94,intra
40,39,B1,B1,column,column,5.62620705134792,2,0.94,intra
41,30,B1,B1,column,column,12.363008222876358,3,0.94,intra
41,57,B1,B1,column,column,19.088053776864644,3,0.94,intra
42,24,B1,B1,column,column,21.54307498445174,4,0.94,intra
42,38,B1,B1,column,column,4.861999623953549,2,0.94,intra
43,46,B1,B1,column,column,3.9516688975245433,1,0.94,intra
44,37,B1,B1,column,column,13.557710634000271,3,0.94,intra
44,45,B1,B1,column,column,2.3984021231556047,1,0.94,intra
46,35,B1,B1,column,column,12.713434851076967,3,0.94,intra
46,38,B1,B1,column,column,17.31898064732567,3,0.94,intra
47,30,B1,B1,column,column,19.045135208752228,3,0.94,intra
48,33,B1,B1,column,column,17.09522693072207,3,0.94,intra
49,38,B1,B1,column,column,12.037594047009971,3,0.94,intra
51,48,B1,B1,column,column,5.227903764683682,2,0.94,intra
53,52,B1,B1,column,column,18.028405782155698,3,0.94,intra
53,56,B1,B1,column,column,8.596010415363294,2,0.94,intra
53,57,B1,B1,column,column,4.133086361973388,2,0.94,intra
54,48,B1,B1,column,column,6.976172338725975,2,0.94,intra
54,61,B1,B1,column,column,10.090600850656543,3,0.94,intra
57,53,B1,B1,column,column,4.133086361973388,2,0.94,intra
58,44,B1,B1,column,column,20.670407150231924,4,0.94,intra
59,50,B1,B1,column,column,15.23247515998063,3,0.94,intra
60,53,B1,B1,column,column,7.587008536025169,2,0.94,intra
62,69,B2,B2,column,column,9.28180026269914,2,0.98,intra
63,64,B2,B2,column,column,0.6902277159728482,1,0.98,intra
64,70,B2,B2,column,column,3.751343533979227,1,0.98,intra
64,83,B2,B2,column,column,12.166549596257479,3,0.98,intra
64,119,B2,B2,column,column,33.99265000533272,4,0.98,intra
65,63,B2,B2,column,column,1.4889360835488004,1,0.98,intra
66,64,B2,B2,column,column,5.467397050329684,2,0.98,intra
66,99,B2,B2,column,column,20.596825851964446,4,0.98,intra
67,70,B2,B2,column,column,5.3384587767507155,2,0.98,intra
68,88,B2,B2,column,column,11.77217821945466,3,0.98,intra
68,96,B2,B2,column,column,15.994266231843225,3,0.98,intra
69,75,B2,B2,column,column,7.094113904508069,2,0.98,intra
69,83,B2,B2,column,column,15.39302026201617,3,0.98,intra
71,76,B2,B2,column,column,8.966874783455015,2,0.98,intra
71,77,B2,B2,column,column,4.455636887490779,2,0.98,intra
71,104,B2,B2,column,column,20.171247993855033,4,0.98,intra
72,67,B2,B2,column,column,4.160249778291023,2,0.98,intra
72,75,B2,B2,column,column,3.7101770479784624,1,0.98,intra
72,87,B2,B2,column,column,9.390360626170542,2,0.98,intra
73,79,B2,B2,column,column,3.7698382059401863,1,0.98,intra
73,99,B2,B2,column,column,19.78412242635264,3,0.98,intra
74,82,B2,B2,column,column,13.91624641981719,3,0.98,intra
74,85,B2,B2,column,column,23.314761309409512,4,0.98,intra
74,97,B2,B2,column,column,21.968914130905233,4,0.98,intra
75,63,B2,B2,column,column,9.815039796157846,2,0.98,intra
75,65,B2,B2,column,column,9.294680472607656,2,0.98,intra
76,82,B2,B2,column,column,9.398496071547374,2,0.98,intra
76,97,B2,B2,column,column,12.730502311483402,3,0.98,intra
76,109,B2,B2,column,column,20.528858193210617,4,0.98,intra
77,62,B2,B2,column,column,12.880938219514894,3,0.98,intra
77,83,B2,B2,column,column,12.504106506901437,3,0.98,intra
77,84,B2,B2,column,column,7.117919622361213,2,0.98,intra
77,98,B2,B2,column,column,14.414698298372706,3,0.98,intra
79,77,B2,B2,column,column,2.9940469374995007,1,0.98,intra
79,78,B2,B2,column,column,3.709323944907554,1,0.98,intra
79,87,B2,B2,column,column,15.473300875464377,3,0.98,intra
79,100,B2,B2,column,column,13.008491757114317,3,0.98,intra
79,114,B2,B2,column,column,21.143102722319007,4,0.98,intra
80,76,B2,B2,column,column,8.188676570972099,2,0.98,intra
80,82,B2,B2,column,column,1.4676463814593255,1,0.98,intra
80,96,B2,B2,column,column,14.852352408640334,3,0.98,intra
81,68,B2,B2,column,column,7.701561981313855,2,0.98,intra
82,79,B2,B2,column,column,2.572462920094099,1,0.98,intra
84,86,B2,B2,column,column,2.107780895843687,1,0.98,intra
87,96,B2,B2,column,column,4.934983113510228,2,0.98,intra
88,73,B2,B2,column,column,11.960192375554492,3,0.98,intra
88,74,B2,B2,column,column,10.745226992459763,3,0.98,intra
88,79,B2,B2,column,column,9.163551197468262,2,0.98,intra
88,86,B2,B2,column,column,12.401167555745655,3,0.98,intra
88,99,B2,B2,column,column,8.06114854041869,2,0.98,intra
90,93,B2,B2,column,column,5.269188913971821,2,0.98,intra
90,95,B2,B2,column,column,16.64392149267663,3,0.98,intra
91,77,B2,B2,column,column,8.448452146846172,2,0.98,intra
91,81,B2,B2,column,column,11.953301181010904,3,0.98,intra
91,88,B2,B2,column,column,7.285931585289454,2,0.98,intra
91,90,B2,B2,column,column,12.350224765222874,3,0.98,intra
92,75,B2,B2,column,column,15.574609174855985,3,0.98,intra
92,86,B2,B2,column,column,3.9513529048366918,1,0.98,intra
92,105,B2,B2,column,column,8.762571972245013,2,0.98,intra
93,82,B2,B2,column,column,9.536251901746578,2,0.98,intra
93,92,B2,B2,column,column,11.650502929991346,3,0.98,intra
93,98,B2,B2,column,column,13.822915108426178,3,0.98,intra
93,103,B2,B2,column,column,7.540007678465015,2,0.98,intra
93,110,B2,B2,column,column,16.509441055155083,3,0.98,intra
95,97,B2,B2,column,column,1.0912146129621207,1,0.98,intra
95,98,B2,B2,column,column,2.596422641063743,1,0.98,intra
95,100,B2,B2,column,column,6.392384555371737,2,0.98,intra
95,105,B2,B2,column,column,7.418162213448593,2,0.98,intra
96,88,B2,B2,column,column,6.9059808143261305,2,0.98,intra
96,89,B2,B2,column,column,5.741902740115736,2,0.98,intra
96,113,B2,B2,column,column,10.687261550221233,3,0.98,intra
97,98,B2,B2,column,column,2.884811066035801,1,0.98,intra
97,101,B2,B2,column,column,3.938307565459978,1,0.98,intra
97,102,B2,B2,column,column,5.22036923007391,2,0.98,intra
98,116,B2,B2,column,column,13.679848004101382,3,0.98,intra
99,95,B2,B2,column,column,14.697844280450116,3,0.98,intra
99,96,B2,B2,column,column,3.053617331967819,1,0.98,intra
100,95,B2,B2,column,column,6.392384555371737,2,0.98,intra
100,96,B2,B2,column,column,11.10774391900579,3,0.98,intra
100,101,B2,B2,column,column,1.5756431902707126,1,0.98,intra
100,104,B2,B2,column,column,2.9871386152076136,1,0.98,intra
100,120,B2,B2,column,column,12.332057349243783,3,0.98,intra
101,95,B2,B2,column,column,5.017572035004961,2,0.98,intra
101,121,B2,B2,column,column,12.426019675270545,3,0.98,intra
102,96,B2,B2,column,column,12.20926700754746,3,0.98,intra
103,74,B2,B2,column,column,16.896121445148154,3,0.98,intra
104,69,B2,B2,column,column,21.085551053489514,4,0.98,intra
104,88,B2,B2,column,column,12.607155751784228,3,0.98,intra
104,93,B2,B2,column,column,10.371736421018207,3,0.98,intra
104,114,B2,B2,column,column,6.174362211540822,2,0.98,intra
105,116,B2,B2,column,column,6.857610207657626,2,0.98,intra
107,78,B2,B2,column,column,17.59235664554143,3,0.98,intra
