 ,Mean(RP1column),Mean(CBpeduncle),Mean(stimu)
1,36.687,30.362,36.333
2,36.209,29.577,35.917
3,36.202,29.187,36.250
4,36.221,28.788,36.250
5,36.301,29.658,35.917
6,36.542,29.647,35.917
7,36.557,29.121,36.083
8,36.437,28.618,35.750
9,36.230,28.161,36.083
10,36.293,27.786,36.250
11,36.350,27.556,35.417
12,36.900,28.682,36.167
13,36.939,28.618,35.917
14,37.141,28.593,35.750
15,37.216,28.347,36.000
16,37.163,28.083,36.083
17,37.064,27.851,35.667
18,37.153,27.701,35.750
19,37.188,27.536,35.750
20,37.058,27.430,36.250
21,36.959,27.246,36.250
22,37.043,27.211,36.250
23,36.939,27.226,35.667
24,36.851,27.191,35.750
25,36.944,27.300,36.083
26,36.896,27.217,35.500
27,37.249,28.860,35.500
28,37.411,29.494,34.750
29,37.426,29.482,36.250
30,37.518,29.160,35.583
31,37.395,29.020,36.000
32,37.316,28.922,35.500
33,37.303,28.766,35.833
34,37.500,28.938,35.917
35,37.453,28.874,35.500
36,37.384,28.834,35.500
37,37.275,28.800,36.250
38,37.229,28.679,35.917
39,37.216,28.495,35.750
40,37.067,28.470,35.667
41,37.000,28.405,35.667
42,36.986,28.273,36.000
43,36.905,28.172,36.000
44,36.783,28.012,35.917
45,36.843,27.994,36.250
46,36.740,27.902,35.500
47,36.609,27.804,35.667
48,36.742,27.912,35.833
49,36.647,27.836,35.833
50,36.596,27.901,35.833
51,36.529,28.018,36.000
52,36.520,28.034,35.667
53,36.491,27.995,36.000
54,36.402,28.017,35.833
55,36.311,28.036,35.667
56,36.371,28.105,36.167
57,36.365,27.924,35.667
58,36.371,27.973,35.833
59,36.213,27.811,35.500
60,36.227,27.837,36.583
61,36.226,27.842,35.833
62,36.218,27.785,36.667
63,36.017,27.822,36.250
64,36.043,27.942,36.417
65,36.020,27.918,37.167
66,36.031,27.971,38.917
67,35.852,28.075,38.583
68,35.996,28.008,39.250
69,35.933,28.190,38.833
70,35.827,28.402,38.333
71,35.867,28.683,37.917
72,35.938,28.866,37.417
73,35.883,28.972,38.250
74,35.831,29.140,37.750
75,35.866,29.375,37.500
76,35.837,29.653,37.583
77,35.800,29.808,36.083
78,35.706,30.022,36.750
79,35.700,30.465,36.250
80,35.594,30.779,36.250
81,35.636,31.054,36.333
82,35.543,31.354,35.833
83,35.606,31.749,36.333
